hotel_name,class_of_rating,rating,num_reviews
Beautiful Bunker Hill 2 Bd,N/A,N/A,N/A
Renovated Apartment Near Airport,N/A,N/A,N/A
One-Bedroom on Arch Street Apt 1B,N/A,N/A,N/A
Three-Bedroom on South Street Apt 5 II,N/A,N/A,N/A
Three-Bedroom on South Street Apt 7,N/A,N/A,N/A
Three-Bedroom on South Street Apt 9,N/A,N/A,N/A
Ivy Loft,N/A,N/A,N/A
The Head of The Charles,N/A,N/A,N/A
Cobblestone Loft,N/A,N/A,N/A
Adventures in Allston,N/A,N/A,N/A
One-Bedroom on Washington Street Apt 309,N/A,N/A,N/A
Two-Bedroom on Washington Street Apt 401,N/A,N/A,N/A
306 on Washington Apts,N/A,N/A,N/A
301 on Washington Apts,N/A,N/A,N/A
North End Enchanted Cottage,N/A,N/A,N/A
One-Bedroom on Chestnut Hill Avenue Apt 9,N/A,N/A,N/A
